Date,Sum of Mkt-RF2,Sum of SMB2,Sum of HML2,Sum of RMW2,Sum of CMA2,Average of RF
2/2/1998,0.029430607,0.000386005,-0.003647336,-0.001273833,-0.010288023,0.021
3/2/1998,0.02007604,-0.002516667,0.005416681,-0.00140852,-0.001788619,0.018
4/1/1998,0.003087666,-0.000203123,0.003303162,-0.007547475,-0.001834719,0.02
5/1/1998,-0.013510974,-0.013220869,0.015289064,0.004926831,0.011204462,0.02
6/1/1998,0.013725747,-0.01567422,-0.008608813,-0.00133176,-0.013087699,0.019
7/1/1998,-0.010758326,-0.024237832,-0.008149313,0.00753219,0.002383833,0.018
8/3/1998,-0.076054217,-0.027183216,0.018374763,0.017925881,0.028696202,0.02
9/1/1998,0.026072141,-0.004898414,-0.015050114,-0.008138323,-0.012546429,0.022
10/1/1998,0.029733625,-0.013561538,-0.011163072,0.002938027,-0.001346215,0.015
11/2/1998,0.025484685,0.002342403,-0.013241106,-0.004438627,-0.005161172,0.015
12/1/1998,0.025751912,-0.006899219,-0.017810068,-0.00306183,-0.014792852,0.017
1/4/1999,0.014838725,-0.003565646,-0.020178449,-0.012331763,-0.028449661,0.019
2/1/1999,-0.018088007,-0.024120129,0.007792079,-0.004933221,0.016902815,0.019
3/1/1999,0.014805713,-0.018726637,-0.012201869,-0.017345686,-0.006419839,0.018
4/1/1999,0.01840172,0.018087005,0.008003498,-0.011515215,0.002616225,0.018
5/3/1999,-0.010637863,0.015544275,0.010018785,0.004203495,0.013490943,0.017
6/1/1999,0.020580197,0.009930489,-0.015958413,0.003370828,-0.014342434,0.018
7/1/1999,-0.015593069,0.011255399,-0.002293957,0.001710237,0.013249528,0.018
8/2/1999,-0.005479713,-0.008413037,-0.008372056,-0.002042348,0.000832069,0.018
9/1/1999,-0.01222566,0.011515162,-0.016227265,-0.002710024,-0.005062046,0.018
10/1/1999,0.025775202,-0.030770144,-0.014319449,-0.007420811,-0.00564531,0.018
11/1/1999,0.014681755,0.023740228,-0.025368926,-0.017369039,-0.007972821,0.017
12/1/1999,0.032226633,0.020814496,-0.032919198,-0.03015421,-0.021941448,0.02
1/3/2000,-0.020946723,0.018886644,-0.01000856,-0.028630501,0.019305668,0.021
2/1/2000,0.010863184,0.072132082,-0.037977293,-0.073958408,-0.006925208,0.022
3/1/2000,0.020636103,-0.067253984,0.034299549,0.049330065,-0.004793346,0.02
4/3/2000,-0.028601458,-0.022326819,0.031014661,0.029926587,0.02199076,0.024
5/1/2000,-0.019355559,-0.018380887,0.019573496,0.016597531,0.003936008,0.023
6/1/2000,0.019899356,0.04060816,-0.035017342,-0.033541167,-0.014205346,0.018
7/3/2000,-0.011365484,-0.004922071,0.035639825,0.025377024,0.011127288,0.024
8/1/2000,0.029686732,-0.003856231,-0.005906227,-0.012319332,0.001523936,0.022
9/1/2000,-0.024268517,0.000250492,0.031348192,0.011836792,0.028481876,0.025
10/2/2000,-0.012279096,-0.013352791,0.022858567,0.038537703,0.018153214,0.025
11/1/2000,-0.04933658,-0.002625898,0.055349413,0.06256034,0.038693156,0.024
12/1/2000,0.005151407,0.013108724,0.029278085,0.006425907,0.022025956,0.025
1/2/2001,0.014348984,0.022377756,-0.023809284,-0.025192247,-0.031363631,0.026
2/1/2001,-0.046045882,0.012584028,0.055958654,0.04202251,0.04345271,0.02
3/1/2001,-0.03274499,0.009938258,0.027533248,0.014671593,0.015369606,0.019
4/2/2001,0.033215683,-0.003758073,-0.021742783,-0.016250214,-0.018143959,0.02
5/1/2001,0.002913313,0.014426718,0.0134172,0.001085652,0.008475782,0.015
6/1/2001,-0.008571811,0.028704248,-0.005892137,0.005823367,-0.007931958,0.013
7/2/2001,-0.009082131,-0.012987117,0.023042831,0.032607778,0.012805785,0.014
8/1/2001,-0.028763584,0.012130712,0.009974862,0.018166245,0.028478592,0.013
9/4/2001,-0.042055558,-0.027815577,0.007767309,0.024184835,0.015015303,0.018
10/1/2001,0.010525733,0.021868797,-0.032666016,-0.013860612,-0.019146855,0.01
11/1/2001,0.031551508,-0.001672509,0.008548663,-0.015639967,-0.006922931,0.008
12/3/2001,0.006936814,0.02137588,0.003209017,0.000664145,-0.001894323,0.007
1/2/2002,-0.006349132,0.005388732,0.01481457,0.02024801,0.01157919,0.007
2/1/2002,-0.010054913,-0.001976007,0.009959934,0.035609412,0.02200475,0.007
3/1/2002,0.018125808,0.017096349,0.004264373,-0.007960454,0.001930703,0.007
4/1/2002,-0.023238849,0.029718415,0.016750934,0.019603941,0.023237924,0.007
5/1/2002,-0.006027819,-0.013839271,0.006044251,0.009563022,0.010102301,0.007
6/3/2002,-0.032684231,0.017252014,-0.000195511,0.017606231,0.011028215,0.006
7/1/2002,-0.036926521,-0.032778962,-0.01879781,0.016376793,-0.00523379,0.007
