Date,Month,Year,MonthYear,Gold,Brent,Wheat,Soybean,Copper,KOSPI,IBOVESPA,MEXBOL,SSE,SENSEX,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,IRL,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific,Spot return of equal-weight commodities portfolio,Carry of equal-weight commodities portfolio,Aggregate backwardation/contango,FFRENCH_MKT-RF,FFRENCH_SMB,FFRENCH_HML,FFRENCH_RMW,FFRENCH_CMA,FFRENCH_RF,VIX_logret
2/29/2000,2,2000,22000,0.030226376,0.078471615,-0.036765194,-0.013376469,-0.076419693,-0.136010021,0.082911009,0.139102711,0.110578191,0.046045617,-0.0179,-0.0374,-0.0592,-0.0918,-0.0261,-0.0409,0.0477,-0.0533,0.0352,-0.0706,-0.0929,0.2658,-0.0049,0.0788,-0.037,-0.0401,-0.002,-0.0166,-0.0089,-0.0376,-0.1345,-0.0861,-0.0344,-0.0447,-0.1326,-0.0111,0.00778,-0.007797159,-0.000965382,0.010863184,0.072132082,-0.037977293,-0.073958408,-0.006925208,0.022,-0.028411836
1/31/2000,1,2000,12000,-0.015748357,0.03487131,0.030710685,0.095457828,-0.01576675,-0.069723581,-0.03364606,-0.091749278,0.11638627,0.035603487,-0.0599,-0.0964,0.0274,-0.0983,0.0432,-0.032,0.0759,0.023,0.0841,0.1474,0.1573,0.3138,0.0951,0.0468,-0.0653,0.0542,-0.0012,0.0415,-0.0055,0.0657,-0.002,0.015,0.033,0.086,-0.0059,-0.0343,0.02861826,0.00268622,-0.002763845,-0.020946723,0.018886644,-0.01000856,-0.028630501,0.019305668,0.021,0.005429881
12/31/1999,12,1999,121999,-0.009331327,0.059130523,0.064404392,-0.030919307,0.075802963,0.045364149,0.282124992,0.140627134,-0.048907333,0.077427647,0.0271,-0.0618,-0.0362,0.0412,-0.0116,-0.0378,-0.044,-0.0535,-0.0953,0.0144,-0.017,0.0173,-0.0276,-0.0783,0.001,-0.0543,-0.002,0.2578,0.038,-0.0456,-0.1132,-0.0639,-0.0119,-0.0278,-0.1072,0.0057,0.009833037,0.002480133,-0.005919901,0.032226633,0.020814496,-0.032919198,-0.03015421,-0.021941448,0.02,0.008184389
11/30/1999,11,1999,111999,-0.028820439,0.086088868,-0.093161951,0.012146967,-0.006851475,0.212902481,0.181060342,0.142963068,-0.047489299,0.039479914,-0.0314,-0.0066,-0.0358,-0.0124,-0.0449,0.034,-0.0483,-0.0892,-0.0425,-0.046,-0.0062,0.1112,-0.0861,0.0002,-0.0193,-0.0674,-0.0399,0.0223,0.0122,-0.0262,-0.1195,-0.0695,-0.0158,-0.0194,-0.1153,-0.0106,0.030019998,-0.017119523,-0.009075352,0.014681755,0.023740228,-0.025368926,-0.017369039,-0.007972821,0.017,0.037103303
10/29/1999,10,1999,101999,0.001505143,-0.08354757,-0.075294253,-0.043157204,-0.025736715,0.010866448,0.032218456,0.046210073,-0.043020137,-0.064957673,0.0115,-0.0277,-0.0258,0.0139,-0.0187,-0.0059,-0.0225,-0.0361,-0.0644,0.0048,-0.0229,0.0654,-0.0139,0.0048,-0.0226,-0.0237,-0.0415,-0.0595,0.025,0.0202,-0.0242,-0.0167,-0.0087,-0.0077,-0.0227,-0.0129,-0.023268458,-0.002550629,-0.007371744,0.025775202,-0.030770144,-0.014319449,-0.007420811,-0.00564531,0.018,-0.058651671
9/30/1999,9,1999,91999,0.155680441,0.100284363,0.040708674,0.026296952,0.061759567,-0.144815092,0.05104682,-0.004780795,-0.035383097,-0.030333425,-0.009,0.0302,0.0614,-0.0505,0.0142,0.0866,-0.0589,0.0384,0.0176,0.0352,0.0571,0.0104,0.1495,-0.0074,0.0477,0.0222,0.0156,0.0513,0.0507,0.0116,-0.0497,-0.0081,0.0375,0.0418,-0.0498,0.0409,0.030469551,-0.004650243,-0.004736466,-0.01222566,0.011515162,-0.016227265,-0.002710024,-0.005062046,0.018,0.016725784
8/31/1999,8,1999,81999,-0.00105545,0.096389055,0.0037843,0.096460266,0.018837842,-0.014085708,-0.05898624,-0.029915118,0.015942285,0.071282171,0.0067,-0.0511,-0.0528,-0.0156,0.0192,-0.0221,-0.0375,-0.0338,-0.0382,-0.0388,0.0266,-0.0197,0.2455,0.0342,0.0403,-0.0656,-0.0681,0.0084,0.0151,-0.0185,-0.0268,-0.0087,0.0115,0.0012,-0.0263,0.0321,0.061930537,-0.010557747,-0.004037192,-0.005479713,-0.008413037,-0.008372056,-0.002042348,0.000832069,0.018,-0.003361805
7/30/1999,7,1999,71999,-0.025268969,0.100953331,0.053540767,-0.031712737,0.003942186,0.054712101,-0.118175551,-0.10273533,-0.053317865,0.094126795,-0.0075,0.0019,0.0754,-0.0113,0.0688,0.0605,0.0368,0.0447,0.0149,0.0627,0.0554,0.1227,0.0909,0.1199,0.0997,0.0728,-0.0158,0.1808,-0.0636,-0.0066,0.001,0.0314,0.068,0.064,0.0005,0.0861,0.00856778,-0.003299007,-0.007934782,-0.015593069,0.011255399,-0.002293957,0.001710237,0.013249528,0.018,0.067564106
6/30/1999,6,1999,61999,-0.029466334,0.141476718,-0.008959741,-0.029114938,0.190120156,0.206600281,0.016915281,0.093125081,0.278032399,0.031033944,-0.0248,-0.0993,0.0837,0.0009,-0.0006,-0.0235,-0.0305,-0.0056,-0.0482,0.0035,0.0135,-0.1056,-0.0078,0.02,0.0932,0.0322,-0.0564,0.0247,0.1866,-0.0483,-0.0133,0.0057,0.0289,0.0095,-0.0127,0.07,0.050181134,-0.009477078,-0.007615696,0.020580197,0.009930489,-0.015958413,0.003370828,-0.014342434,0.018,-0.080586104
5/31/1999,5,1999,51999,-0.058195625,-0.086298404,-0.026407402,-0.031444104,-0.131838081,-0.031678687,-0.057019391,-0.03533243,0.132286134,0.174297987,-0.0243,0.0504,0.0253,0.0446,0.2106,0.0138,0.0389,0.001,0.009,0.0176,0.0754,0.2606,-0.0095,-0.0107,-0.0078,0.0042,0.1532,0.0454,0.1256,0.0809,0.0361,0.0383,0.0408,0.0531,0.0365,0.0173,-0.045718619,-0.001313903,-0.004316261,-0.010637863,0.015544275,0.010018785,0.004203495,0.013490943,0.017,0.00550835
