DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
02/12/1990,0.000561801,0.013130004,-0.00476344,-0.001989497,-0.009613103,0.014321393,0.01068695,0.001797192,0.004355178,0.007932529,0.004090182,,-0.001789637,0.002578266,,-0.000468885,-0.000173107,0.000882296,0.012360043,0.000571396,,0.027878887,0.002077521,0.000350379,0.001148927,0.001504168,0.005332504,0.000228389,3.73329E-05
02/13/1990,-0.003735421,0.0077838,0.004703053,0.001280377,0.005206172,-0.004740013,-0.013082131,-0.002176939,0.004438452,0.00243191,-0.000340388,,-0.001506229,0.014716869,,-0.006067079,0.005195827,-0.007611235,-0.011244549,0.000208364,,0.003964511,-0.005441472,-0.002455839,0.001297954,0.002965936,-0.001413456,-0.002261483,0.004855166
02/14/1990,-0.001790026,0.011799756,-0.009739708,0.001441278,0.001704598,0.005049743,-0.015769718,0.003630167,-0.00933673,0.000705299,-0.001387161,,-0.002875395,-0.007041517,,0.001659007,-0.004851788,-0.005708771,-0.010195966,-0.000666109,,-0.002708868,0.005810563,-0.000824074,-0.002469439,-0.003196599,8.161E-05,-0.000705814,-0.00472129
02/15/1990,0.000158065,-0.000944976,-0.000339883,0.003414141,0.003289907,-0.009603943,-9.43122E-05,-0.012252788,0.006736253,-0.006083163,-0.001474021,,-0.014636245,0.003678147,,-0.00028776,-0.008718526,0.004390333,-0.006902145,0.010195424,,-0.002387825,-0.021633845,-0.004525789,-0.006119064,-0.006824879,-0.003771776,-0.004110402,-0.00846223
02/16/1990,0.001086407,-0.002558094,-0.011308673,-0.000566699,-0.01014426,-0.000514014,-0.000670739,-0.001201275,0.047847277,0.003915233,-0.002162227,,0.000498683,0.001095685,,0.001071642,-0.003085349,-0.002632878,-0.020466134,0.00213554,,0.003294107,0.010268974,0.003069591,-0.000625111,-0.002265637,-0.000969798,0.002877917,-0.002869832
02/19/1990,0.001956033,0.001939392,0.000123996,-0.004857305,0.005256992,0.003410346,-0.001879513,-0.004879676,-0.024951034,-0.002854091,0.005755967,,-0.000699484,0.009750872,,0.005896421,0.001549618,0.008938284,-0.008051768,-0.007177509,,-0.001801099,-0.001621019,-0.000275935,0.001156175,0.001795461,0.003096533,-0.000516596,0.001488839
02/20/1990,-0.000577888,0.011413562,0.000505068,0.00232286,0.006762421,0.007830983,0.001409412,-0.002183931,-0.008988394,-0.003214333,0.000101496,,0.001934129,0.007944649,,0.001445835,0.000364226,-0.001571479,-0.007371376,8.25091E-05,,-0.00097236,0.002641661,0.003156687,0.001422453,0.0006499,0.001229257,0.003113075,0.000346323
02/21/1990,-0.006012815,0.001979212,0.015599341,-0.008870837,-0.002419813,0.00203318,0.002340473,-0.005303011,-0.006613509,0.001513642,-0.001184028,,0.016067919,-0.009411934,,-0.002397942,-0.002043815,-0.004923412,0.01550121,0.004038079,,0.002021038,-0.016412957,-0.003128074,-0.002128821,-0.001682566,-0.000572102,-0.003428198,-0.001892145
02/22/1990,-0.004162153,0.007428653,-0.003696599,0.005147585,-0.006560189,0.000290412,0.002349391,-0.002933863,-0.018748487,-0.003391267,-0.001409526,,-0.005411029,-0.036209281,,0.004280924,-0.00783275,0.007914229,-8.65294E-05,0.02619833,,-0.000586796,-0.032226817,3.4096E-06,-0.003817781,-0.005521808,-0.001555486,0.000270782,-0.00757381
02/23/1990,0.004075003,0.017176748,-0.002423518,0.003370864,0.022291072,0.001184589,0.002497122,0.005189257,0.019230046,0.003683467,0.00262079,,0.00299984,0.016134276,,-0.000931743,-0.003849514,-0.008296839,0.02369517,0.026934284,,6.85435E-05,0.008486394,-0.000221517,-0.00099752,-0.001345493,0.003219952,-3.38896E-05,-0.003451778
02/26/1990,0.005562249,-0.012852285,0.003807728,0.005743522,-0.016834683,0.001379689,0.000472217,-0.005491086,-0.003025233,0.000642566,-0.011281205,,-0.000242764,0.008943108,,-0.002906184,-0.027356768,-0.001187867,-0.040858012,0.018535928,,0.003721114,-0.003790463,-0.002610986,-0.014084394,-0.019235067,-0.006033601,-0.002173152,-0.025778449
02/27/1990,-0.00483707,-0.030155245,0.006512097,-0.00045148,0.012215529,-0.009223883,0.000743888,-0.01008867,0.041743121,-0.001013909,-0.000857572,,-0.006970202,-0.038844355,,-0.000120738,-0.00414175,0.013696675,0.016000792,-0.060412552,,-0.002294991,-0.034851627,-0.001597996,-0.002908933,-0.003507415,-0.001906732,-0.001537434,-0.004319229
02/28/1990,-0.074489911,-0.016225966,-0.002101214,0.001954203,0.003287289,0.005161524,-0.002165914,-0.004464846,0.00464217,-0.006556484,-8.75248E-05,,0.003432375,-0.013309261,,-0.001782317,0.015808084,-0.000715667,-0.001642964,0.006381392,,-0.0035746,0.021971946,-0.002336334,0.005284809,0.008770751,-0.000176669,-0.00210945,0.012934031
03/01/1990,-0.004108848,0.005144891,-0.001032877,-0.00131172,0.012618331,-0.000148836,0.003106867,-0.0026539,0.040212481,0.002927608,0.002480871,,0.003743138,-0.014715332,,-0.003713443,0.010641843,0.002399146,0.006837985,0.004632872,,0.001580662,0.006783014,-0.003410731,0.003750825,0.00730869,0.002162548,-0.003301933,0.010028865
